userID	movieID	rating	date_day	date_month	date_year	date_hour	date_minute	date_second
1355	5995	3.5	2	9	2007	13	16	11
1355	6003	4	2	9	2007	12	27	15
1355	6188	3.5	2	9	2007	12	33	13
1355	6235	3.5	3	9	2007	13	52	34
1355	6287	2.5	2	9	2007	12	17	3
1355	6296	3.5	2	9	2007	12	31	26
1355	6303	3	2	9	2007	12	16	31
1355	6333	3.5	2	9	2007	12	29	34
1355	6337	4.5	2	9	2007	12	32	48
1355	6365	3.5	3	9	2007	13	23	1
1355	6373	4	3	9	2007	13	21	44
1355	6377	3.5	3	9	2007	13	19	42
1355	6380	3.5	3	9	2007	13	47	43
1355	6385	4.5	30	1	2008	4	41	7
1355	6440	3.5	2	9	2007	12	42	50
1355	6461	4	3	9	2007	13	33	55
1355	6537	3	3	9	2007	13	24	35
1355	6620	4	2	9	2007	12	14	39
1355	6636	3.5	30	1	2008	4	53	59
1355	6662	2.5	30	1	2008	4	50	6
1355	6711	4	3	9	2007	13	22	8
1355	6774	4	30	1	2008	4	40	2
1355	6796	3.5	3	9	2007	14	2	38
1355	6807	5	3	9	2007	13	22	36
1355	6867	4	2	9	2007	13	20	6
1355	6870	3.5	3	9	2007	13	23	23
1355	6874	4	3	9	2007	13	24	42
1355	6934	3.5	3	9	2007	13	20	15
1355	6942	3.5	3	9	2007	13	25	21
1355	6953	3.5	30	1	2008	4	44	18
1355	6978	3.5	2	9	2007	12	54	23
1355	7003	4	30	1	2008	4	47	32
1355	7020	3.5	2	9	2007	12	44	29
1355	7027	4	30	1	2008	4	52	31
1355	7030	4	30	1	2008	4	54	47
1355	7044	4	30	1	2008	4	54	8
1355	7123	4.5	2	9	2007	12	53	40
1355	7139	4	2	9	2007	13	17	32
1355	7143	3.5	3	9	2007	13	15	13
1355	7147	3	3	9	2007	13	22	46
1355	7153	4	2	9	2007	13	8	24
1355	7160	4	2	9	2007	12	24	25
1355	7173	3.5	2	9	2007	12	11	14
1355	7193	3	2	9	2007	12	3	25
1355	7361	4.5	2	9	2007	13	13	57
1355	7438	4	3	9	2007	13	19	50
1355	7619	3	3	9	2007	13	56	40
1355	8042	4.5	3	9	2007	13	53	26
1355	8368	3.5	5	9	2007	2	10	47
1355	8464	4	3	9	2007	13	21	42
1355	8507	4	3	9	2007	13	59	44
1355	8530	4	3	9	2007	13	44	2
1355	8582	4	30	1	2008	4	34	17
1355	8610	3	2	9	2007	12	9	30
1355	8622	4	3	9	2007	13	25	35
1355	8636	3.5	2	9	2007	12	31	41
1355	8665	3	30	1	2008	4	51	50
1355	8772	3	3	9	2007	13	54	9
1355	8784	4	3	9	2007	13	15	19
1355	8827	4.5	30	1	2008	4	39	28
1355	8873	4	3	9	2007	14	11	24
1355	8874	4	2	9	2007	12	23	14
1355	8948	4	2	9	2007	12	7	20
1355	8949	4	3	9	2007	13	20	8
1355	8961	3	3	9	2007	13	12	23
1355	8970	4	30	1	2008	4	41	44
1355	8981	3	2	9	2007	12	32	14
1355	26729	3.5	3	9	2007	13	35	36
1355	27391	3	3	9	2007	14	7	39
